<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
EUR_RUB__TOM;D;20220905;000000;60.1250000;1282701000
EUR_RUB__TOM;D;20220906;000000;60.4150000;629283000
EUR_RUB__TOM;D;20220907;000000;60.4125000;601957000
EUR_RUB__TOM;D;20220908;000000;60.3750000;715305000
EUR_RUB__TOM;D;20220909;000000;60.9675000;685057000
EUR_RUB__TOM;D;20220912;000000;60.8000000;664655000
EUR_RUB__TOM;D;20220913;000000;59.9000000;738572000
EUR_RUB__TOM;D;20220914;000000;59.9600000;799593000
EUR_RUB__TOM;D;20220915;000000;59.7825000;884472000
EUR_RUB__TOM;D;20220916;000000;59.8125000;670531000
EUR_RUB__TOM;D;20220919;000000;60.1625000;636868000
EUR_RUB__TOM;D;20220920;000000;60.6000000;668885000
EUR_RUB__TOM;D;20220921;000000;60.1500000;803318000
EUR_RUB__TOM;D;20220922;000000;57.6175000;1201850000
EUR_RUB__TOM;D;20220923;000000;56.3000000;1381748000
EUR_RUB__TOM;D;20220926;000000;56.2400000;690235000
EUR_RUB__TOM;D;20220927;000000;56.1500000;694943000
EUR_RUB__TOM;D;20220928;000000;55.4750000;1047135000
EUR_RUB__TOM;D;20220929;000000;55.4700000;975043000
EUR_RUB__TOM;D;20220930;000000;56.7000000;883833000
EUR_RUB__TOM;D;20221003;000000;53.6000000;875698000
EUR_RUB__TOM;D;20221004;000000;56.4000000;844234000
EUR_RUB__TOM;D;20221005;000000;58.4000000;937409000
